filename,filepath,algorithm,original_size,compressed_size,compression_ratio,compression_time,speed_mbps
grammar.lsp,data\academic_corpora\canterbury\grammar.lsp,brotli,3721,1124,3.3104982206405693,0.003873109817504883,0.9162203755001539
kennedy.xls,data\academic_corpora\canterbury\kennedy.xls,gzip,1029744,207041,4.973623581802638,0.36611294746398926,2.6823427362399705
kennedy.xls,data\academic_corpora\canterbury\kennedy.xls,bzip2,1029744,130280,7.904083512434756,0.03136014938354492,31.3149147748871
kennedy.xls,data\academic_corpora\canterbury\kennedy.xls,lzma,1029744,49116,20.965550940630344,0.2893717288970947,3.3936985102738455
kennedy.xls,data\academic_corpora\canterbury\kennedy.xls,zstd,1029744,64825,15.884982645584266,0.2705814838409424,3.6293703151199974
kennedy.xls,data\academic_corpora\canterbury\kennedy.xls,brotli,1029744,61498,16.744349409736902,1.7105824947357178,0.5740970741227894
lcet10.txt,data\academic_corpora\canterbury\lcet10.txt,gzip,426754,144451,2.954316688704128,0.02651238441467285,15.35072526326202
lcet10.txt,data\academic_corpora\canterbury\lcet10.txt,bzip2,426754,107706,3.9622119473381243,0.023997783660888672,16.959246527708785
lcet10.txt,data\academic_corpora\canterbury\lcet10.txt,lzma,426754,119500,3.571163179916318,0.15353059768676758,2.65083530811207
lcet10.txt,data\academic_corpora\canterbury\lcet10.txt,zstd,426754,121336,3.51712599723083,0.12013006210327148,3.3878641374027016
lcet10.txt,data\academic_corpora\canterbury\lcet10.txt,brotli,426754,113416,3.7627318896804685,0.5284008979797363,0.7702188447818276
plrabn12.txt,data\academic_corpora\canterbury\plrabn12.txt,gzip,481861,194344,2.479423084839254,0.0437769889831543,10.497260557473831
plrabn12.txt,data\academic_corpora\canterbury\plrabn12.txt,bzip2,481861,145577,3.310007762215185,0.028873443603515625,15.915609723873695
plrabn12.txt,data\academic_corpora\canterbury\plrabn12.txt,lzma,481861,165412,2.913095785070007,0.14162540435791016,3.244745968149221
plrabn12.txt,data\academic_corpora\canterbury\plrabn12.txt,zstd,481861,167438,2.8778473225910486,0.11538267135620117,3.9827337534869303
plrabn12.txt,data\academic_corpora\canterbury\plrabn12.txt,brotli,481861,163267,2.9513680045569526,0.5828392505645752,0.7884480314815686
ptt5,data\academic_corpora\canterbury\ptt5,gzip,513216,52233,9.825512606972604,0.0645296573638916,7.58474379011073
ptt5,data\academic_corpora\canterbury\ptt5,bzip2,513216,49759,10.314033642155188,0.008313417434692383,58.87361266454444
