filename,filepath,ensemble_ratio,baseline_ratio,improvement_pct
cvstagdiff.html,data\academic_corpora\required_corpus\cvstagdiff.html,3.9016754850088184,2.973454301075269,31.216931216931215
cvsversion.html,data\academic_corpora\required_corpus\cvsversion.html,3.4219590958019377,2.296965317919075,48.977395048439185
cycle_suppress_list.txt,data\academic_corpora\required_corpus\cycle_suppress_list.txt,4.427777777777778,3.3628691983122363,31.666666666666675
defaultexcludes.html,data\academic_corpora\required_corpus\defaultexcludes.html,3.3230472516875604,2.2973333333333334,44.6480231436837
delete.html,data\academic_corpora\required_corpus\delete.html,3.6963306621678615,2.8791064388961893,28.384647827920702
deltree.html,data\academic_corpora\required_corpus\deltree.html,2.784375,1.8409090909090908,51.24999999999999
depend.html,data\academic_corpora\required_corpus\depend.html,3.4753974261922784,2.6847953216374267,29.447388342165027
dependset.html,data\academic_corpora\required_corpus\dependset.html,3.8398671096345516,2.8272994129158513,35.8139534883721
description.html,data\academic_corpora\required_corpus\description.html,2.748015873015873,1.5810502283105023,73.8095238095238
develop.html,data\academic_corpora\required_corpus\develop.html,3.8119899560577526,3.224907063197026,18.204645323289398
developlist.html,data\academic_corpora\required_corpus\developlist.html,3.0912806539509536,1.9833916083916083,55.858310626703
diagnostics.html,data\academic_corpora\required_corpus\diagnostics.html,2.541284403669725,1.5738636363636365,61.46788990825688
dirname.html,data\academic_corpora\required_corpus\dirname.html,3.106217616580311,1.9720394736842106,57.51295336787564
dirscanner.xml,data\academic_corpora\required_corpus\dirscanner.xml,4.945769050958392,4.043960244648318,22.30014025245442
dirset.html,data\academic_corpora\required_corpus\dirset.html,3.6268163804491413,2.655222437137331,36.59180977542931
dirtasks.html,data\academic_corpora\required_corpus\dirtasks.html,3.987171052631579,3.2271033013844517,23.55263157894737
docs.xml,data\academic_corpora\required_corpus\docs.xml,2.7712854757929883,1.8693693693693694,48.24707846410685
ear.html,data\academic_corpora\required_corpus\ear.html,3.7811226089683285,2.993545183714002,26.309187833176544
echo.html,data\academic_corpora\required_corpus\echo.html,3.5110579796772265,2.5673076923076925,36.760310818888215
echoproperties.html,data\academic_corpora\required_corpus\echoproperties.html,3.421250941974378,2.483588621444201,37.75433308214017
echoxml.html,data\academic_corpora\required_corpus\echoxml.html,2.8743654822335025,1.9130067567567568,50.25380710659898
ejb.html,data\academic_corpora\required_corpus\ejb.html,5.015684857246115,4.7334242837653475,5.963136971449238
exec.html,data\academic_corpora\required_corpus\exec.html,3.626692836113837,3.019281045751634,20.117762512266932
extension.html,data\academic_corpora\required_corpus\extension.html,3.630085146641438,2.4915584415584417,45.695364238410576
extensionset.html,data\academic_corpora\required_corpus\extensionset.html,3.1471774193548385,2.144230769230769,46.774193548387096
fail.html,data\academic_corpora\required_corpus\fail.html,3.5404699738903394,2.450602409638554,44.47345517841602
favicon.ico,data\academic_corpora\required_corpus\favicon.ico,4.60506329113924,3.682186234817814,25.063291139240494
feedback.html,data\academic_corpora\required_corpus\feedback.html,2.9855293221629857,2.067510548523207,44.40213252094441
fetch.xml,data\academic_corpora\required_corpus\fetch.xml,4.3226734889670615,3.6730978260869565,17.68468180364568
filelist.html,data\academic_corpora\required_corpus\filelist.html,3.3784313725490196,2.3221024258760106,45.49019607843138
fileset.html,data\academic_corpora\required_corpus\fileset.html,3.759249873289407,2.8052193645990924,34.0091231626964
filter.html,data\academic_corpora\required_corpus\filter.html,2.897596656217346,1.9528169014084507,48.380355276907004
filterchain.html,data\academic_corpora\required_corpus\filterchain.html,5.8462051339037675,5.131681623097932,13.92376930770087
filterset.html,data\academic_corpora\required_corpus\filterset.html,4.153893316983446,3.0683876811594204,35.37706928264868
Find.java,data\academic_corpora\required_corpus\Find.java,3.36604260813428,2.5760869565217392,30.664945125887655
Find.java.01-propertyaccess,data\academic_corpora\required_corpus\Find.java.01-propertyaccess,3.255639097744361,2.278947368421053,42.85714285714285
Find.java.02-fileset,data\academic_corpora\required_corpus\Find.java.02-fileset,3.3963636363636365,2.6089385474860336,30.181818181818183
Find.java.03-paths,data\academic_corpora\required_corpus\Find.java.03-paths,3.274193548387097,2.4907975460122698,31.451612903225822
Find.java.04-lists,data\academic_corpora\required_corpus\Find.java.04-lists,3.6409495548961424,2.8013698630136985,29.970326409495552
FindTest.java,data\academic_corpora\required_corpus\FindTest.java,3.80314371257485,2.8609234234234235,32.934131736526936
FindTest.java.01-propertyaccess,data\academic_corpora\required_corpus\FindTest.java.01-propertyaccess,2.0,1.2538461538461538,59.50920245398773
FindTest.java.02-fileset,data\academic_corpora\required_corpus\FindTest.java.02-fileset,4.689956331877729,3.556291390728477,31.877729257641917
FindTest.java.03-paths,data\academic_corpora\required_corpus\FindTest.java.03-paths,4.676855895196507,3.523026315789474,32.75109170305677
FindTest.java.04-lists,data\academic_corpora\required_corpus\FindTest.java.04-lists,5.026104417670683,3.7924242424242425,32.53012048192772
fixcrlf.html,data\academic_corpora\required_corpus\fixcrlf.html,4.203464799115371,3.3151162790697675,26.796903796535204
ftp.html,data\academic_corpora\required_corpus\ftp.html,4.310408351243476,3.6220330237358103,19.005219527172247
genkey.html,data\academic_corpora\required_corpus\genkey.html,3.5098814229249014,2.3870967741935485,47.03557312252965
get-m2.xml,data\academic_corpora\required_corpus\get-m2.xml,3.3229166666666665,2.5432801822323463,30.654761904761894
get.html,data\academic_corpora\required_corpus\get.html,3.604195804195804,2.80718954248366,28.391608391608393
gunzip.html,data\academic_corpora\required_corpus\gunzip.html,2.6875,1.449438202247191,85.41666666666666
gutenberg_11_alice.txt,data\academic_corpora\required_corpus\gutenberg_11_alice.txt,3.2048966613672496,3.173881098328995,0.9772125066242705
gutenberg_25525_pg-full.txt,data\academic_corpora\required_corpus\gutenberg_25525_pg-full.txt,3.1452661387546943,3.5946388656222275,-12.501192572226511
gutenberg_84_frankenstein.txt,data\academic_corpora\required_corpus\gutenberg_84_frankenstein.txt,2.940381048021535,3.1003338333480395,-5.159211682497169
gzip.html,data\academic_corpora\required_corpus\gzip.html,2.712401055408971,1.4519774011299436,86.80738786279683
hamcrest-core-1.3.jar,data\academic_corpora\required_corpus\hamcrest-core-1.3.jar,1.150332141032192,1.1326222579995975,1.563617782319873
hamcrest-library-1.3.jar,data\academic_corpora\required_corpus\hamcrest-library-1.3.jar,1.1181576840419705,1.1018603106054314,1.4790779992415035
HelloWorld.java,data\academic_corpora\required_corpus\HelloWorld.java,2.9331103678929766,2.307894736842105,27.090301003344486
HelloWorldTest.java,data\academic_corpora\required_corpus\HelloWorldTest.java,2.939947780678851,2.216535433070866,32.63707571801565
hostinfo.html,data\academic_corpora\required_corpus\hostinfo.html,3.4771428571428573,2.376953125,46.28571428571429
ide.html,data\academic_corpora\required_corpus\ide.html,2.934322033898305,1.9562146892655368,49.999999999999986
ifunless.html,data\academic_corpora\required_corpus\ifunless.html,3.024390243902439,2.017123287671233,49.93581514762516
image-classdiagram.gif,data\academic_corpora\required_corpus\image-classdiagram.gif,0.9999093819851387,1.0017551823271296,-0.18425663021807365
image.graphml,data\academic_corpora\required_corpus\image.graphml,13.917881582862243,11.836538461538462,17.584052365367448
image.html,data\academic_corpora\required_corpus\image.html,8.026764804282369,7.015204678362573,14.419538307126132
imageio.graphml,data\academic_corpora\required_corpus\imageio.graphml,14.1159200968523,12.007981462409887,17.55447941888619
imageio.html,data\academic_corpora\required_corpus\imageio.html,7.936894720399875,6.956736035049288,14.089347079037804
import.html,data\academic_corpora\required_corpus\import.html,3.78606317160534,3.02471383975026,25.17095408661673
include.html,data\academic_corpora\required_corpus\include.html,3.793667007150153,3.040938864628821,24.753149472250584
index.html,data\academic_corpora\required_corpus\index.html,2.7066189624329158,1.6662995594713657,62.432915921288
input.html,data\academic_corpora\required_corpus\input.html,3.7,2.7550154320987654,34.30051813471503
inputhandler.html,data\academic_corpora\required_corpus\inputhandler.html,3.209993247805537,2.3167641325536064,38.555030384875074
INSTALL,data\academic_corpora\required_corpus\INSTALL,1.7922077922077921,0.8023255813953488,123.37662337662336
install.html,data\academic_corpora\required_corpus\install.html,3.8550852204529087,3.4177780930760497,12.795070816996084
installlist.html,data\academic_corpora\required_corpus\installlist.html,3.1139240506329116,1.855603448275862,67.8119349005425
intro.html,data\academic_corpora\required_corpus\intro.html,2.7913938260056126,1.8329238329238329,52.291861552853135
ivy.xml,data\academic_corpora\required_corpus\ivy.xml,10.770034843205575,8.422343324250681,27.874564459930323
ivysettings.xml,data\academic_corpora\required_corpus\ivysettings.xml,2.4626593806921675,1.6018957345971565,53.73406193078323
jar.html,data\academic_corpora\required_corpus\jar.html,4.162513542795233,3.538684210526316,17.628850023216227
jarlib-available.html,data\academic_corpora\required_corpus\jarlib-available.html,4.159784560143627,2.9255050505050506,42.190305206463194
jarlib-display.html,data\academic_corpora\required_corpus\jarlib-display.html,2.9460093896713615,1.9548286604361371,50.70422535211267
jarlib-manifest.html,data\academic_corpora\required_corpus\jarlib-manifest.html,3.881188118811881,2.708542713567839,43.29432943294329
jarlib-resolve.html,data\academic_corpora\required_corpus\jarlib-resolve.html,4.38265306122449,3.1814814814814816,37.755102040816325
java-latest-ea-ci.xml,data\academic_corpora\required_corpus\java-latest-ea-ci.xml,3.0822281167108754,2.1204379562043796,45.35809018567639
java.html,data\academic_corpora\required_corpus\java.html,4.216240466576941,3.4988830975428145,20.50246747420369
javac.html,data\academic_corpora\required_corpus\javac.html,4.432342007434944,3.854418103448276,14.993804213135068
javacc.html,data\academic_corpora\required_corpus\javacc.html,4.459770114942529,3.3304721030042916,33.90804597701151
javacprops.html,data\academic_corpora\required_corpus\javacprops.html,2.7902298850574714,1.8390151515151516,51.724137931034484
javadoc-stylesheet.css,data\academic_corpora\required_corpus\javadoc-stylesheet.css,5.64029484029484,4.735148514851486,19.115479115479094
javadoc.html,data\academic_corpora\required_corpus\javadoc.html,4.8165206886137115,4.097507708119219,17.547568710359407
javah.html,data\academic_corpora\required_corpus\javah.html,3.8514810179390904,2.9514066496163682,30.49645390070922
jdepend-frames.xsl,data\academic_corpora\required_corpus\jdepend-frames.xsl,6.364860316391788,5.172319474835886,23.056210030292842
jdepend.html,data\academic_corpora\required_corpus\jdepend.html,3.574908647990256,2.6828153564899453,33.25213154689403
jdepend.xsl,data\academic_corpora\required_corpus\jdepend.xsl,5.849950149551346,4.5983542319749215,27.21834496510469
jext-plugin.html,data\academic_corpora\required_corpus\jext-plugin.html,2.8384615384615386,1.797077922077922,57.948717948717956
jjdoc.html,data\academic_corpora\required_corpus\jjdoc.html,3.1382488479262673,2.246042216358839,39.72350230414747
jjtree.html,data\academic_corpora\required_corpus\jjtree.html,7.306459217350307,5.739629629629629,27.298444130127315
